"Date","Price","Open","High","Low","Vol.","Change %"
"07/12/2022","635.53","646.84","646.84","634.84","1.40B","-2.66%"
"07/11/2022","652.87","660.11","662.52","651.09","1.32B","-0.98%"
"07/08/2022","659.34","659.26","663.55","654.25","1.90B","1.40%"
"07/07/2022","650.23","630.81","650.91","627.06","1.89B","3.86%"
"07/06/2022","626.04","638.81","643.00","626.04","2.02B","-2.38%"
"07/05/2022","641.33","643.53","648.93","627.26","1.67B","1.16%"
"07/04/2022","634.00","636.84","644.64","633.16","1.57B","-1.67%"
"07/01/2022","644.77","670.93","670.93","644.38","2.05B","-4.07%"
"06/30/2022","672.12","687.79","687.79","671.82","1.70B","-3.21%"
"06/29/2022","694.42","700.80","701.48","693.82","1.37B","-1.25%"
"06/28/2022","703.18","708.00","708.54","700.70","1.32B","-0.74%"
"06/27/2022","708.39","701.77","715.19","701.77","1.31B","2.08%"
"06/24/2022","693.98","693.32","700.81","692.16","1.31B","0.47%"
"06/23/2022","690.74","698.87","701.09","687.58","1.72B","-1.69%"
"06/22/2022","702.62","719.92","719.92","702.62","1.74B","-2.80%"
"06/21/2022","722.89","711.33","722.89","711.33","1.38B","2.22%"
"06/20/2022","707.17","717.79","718.21","707.17","1.57B","-1.41%"
"06/17/2022","717.27","725.72","725.72","713.43","1.88B","-1.49%"
"06/16/2022","728.15","741.13","745.04","727.69","1.57B","-0.92%"
"06/15/2022","734.89","737.83","741.73","734.44","1.38B","-0.59%"
"06/14/2022","739.23","735.55","740.30","731.41","1.22B","-0.42%"
"06/13/2022","742.36","751.88","751.88","741.60","1.23B","-2.59%"
"06/10/2022","762.10","769.72","769.72","760.12","1.03B","-1.20%"
"06/09/2022","771.33","772.48","772.48","767.02","1.04B","-0.24%"
"06/08/2022","773.16","765.07","775.58","765.07","1.11B","1.21%"
"06/07/2022","763.94","769.09","769.09","761.52","1.04B","-0.78%"
"06/06/2022","769.95","768.11","773.28","765.05","1.15B","0.33%"
"06/02/2022","767.43","771.01","771.98","767.16","1.19B","-1.03%"
"06/01/2022","775.45","776.41","782.80","773.83","1.52B","-1.01%"
"05/31/2022","783.40","766.79","783.40","764.37","2.29B","1.69%"
"05/30/2022","770.38","758.08","770.38","758.08","1.32B","2.55%"
"05/27/2022","751.23","742.41","751.23","742.41","1.16B","2.12%"
"05/26/2022","735.60","745.01","746.92","734.51","1.28B","-1.17%"
"05/25/2022","744.29","737.54","748.53","737.20","1.25B","0.99%"
"05/24/2022","736.97","748.95","751.53","736.97","1.21B","-1.55%"
"05/23/2022","748.56","754.13","757.37","748.51","1.02B","-0.41%"
"05/20/2022","751.66","748.88","754.31","747.03","1.06B","0.72%"
"05/19/2022","746.29","747.01","747.01","740.26","1.31B","-1.67%"
"05/18/2022","758.95","757.40","760.32","754.31","1.67B","1.32%"
"05/17/2022","749.05","738.50","750.73","738.50","1.24B","1.53%"
"05/16/2022","737.78","739.19","745.31","735.84","1.41B","0.91%"
"05/13/2022","731.10","724.27","733.16","724.27","1.24B","1.48%"
"05/12/2022","720.44","731.36","734.15","720.44","1.25B","-2.12%"
"05/11/2022","736.03","735.78","740.70","732.41","1.14B","0.07%"
"05/10/2022","735.54","724.55","736.00","717.75","1.26B","0.18%"
"05/09/2022","734.22","743.46","743.46","734.22","1.17B","-1.72%"
"05/06/2022","747.08","749.55","749.55","742.76","1.09B","-2.03%"
"05/05/2022","762.55","760.61","766.07","759.86","1.25B","1.29%"
"05/04/2022","752.82","751.70","755.89","749.39","910.37M","0.39%"
"05/03/2022","749.92","754.72","756.81","747.73","955.00M","-0.65%"
"04/29/2022","754.85","759.84","762.71","751.53","1.33B","1.05%"
"04/28/2022","747.00","742.02","749.68","736.85","1.57B","-1.39%"
"04/26/2022","757.50","761.34","762.38","754.04","1.34B","-0.03%"
"04/25/2022","757.73","770.21","770.21","756.44","1.58B","-2.43%"
"04/22/2022","776.64","784.55","784.55","774.16","1.30B","-1.25%"
"04/21/2022","786.48","788.01","791.30","785.61","1.37B","-0.16%"
"04/20/2022","787.74","783.64","787.74","778.91","1.32B","1.05%"
"04/19/2022","779.52","776.29","786.15","776.29","1.07B","0.55%"
"04/18/2022","775.29","773.02","779.41","769.68","1.11B","-0.11%"
"04/15/2022","776.14","784.36","784.36","776.14","1.16B","-1.99%"
"04/14/2022","791.88","795.87","796.85","791.56","1.15B","-0.08%"
"04/13/2022","792.50","779.95","794.62","779.95","1.07B","2.34%"
"04/12/2022","774.40","772.73","782.31","768.97","1.45B","-0.24%"
"04/11/2022","776.23","790.10","790.10","776.23","1.79B","-1.91%"
"04/08/2022","791.35","791.81","795.55","789.45","1.17B","0.12%"
