"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2020","512.91","520.80","523.18","511.57","2.46B","-1.19%"
"06/10/2020","519.08","514.59","520.62","514.11","2.00B","0.86%"
"06/09/2020","514.66","513.46","515.17","510.12","1.69B","0.08%"
"06/08/2020","514.25","512.21","515.66","510.90","2.26B","1.22%"
"06/05/2020","508.04","505.18","508.30","505.03","2.11B","0.96%"
"06/04/2020","503.21","502.17","504.48","500.79","2.27B","0.92%"
"06/03/2020","498.64","494.32","499.08","494.21","2.33B","1.64%"
"06/02/2020","490.59","490.53","493.14","489.55","1.75B","0.46%"
"06/01/2020","488.36","483.62","489.14","483.62","1.53B","1.40%"
"05/29/2020","481.63","480.35","482.11","477.70","1.58B","-0.08%"
"05/28/2020","482.01","486.09","488.25","480.45","1.70B","-0.47%"
"05/27/2020","484.29","485.27","486.98","482.54","1.57B","0.19%"
"05/26/2020","483.39","480.70","486.13","480.70","1.42B","1.00%"
"05/25/2020","478.61","475.39","479.13","471.24","1.24B","0.66%"
"05/22/2020","475.45","482.76","482.76","474.78","1.61B","-1.99%"
"05/21/2020","485.08","482.15","486.01","482.01","1.66B","1.00%"
"05/20/2020","480.26","479.53","481.43","477.23","1.49B","0.57%"
"05/19/2020","477.56","478.46","481.70","476.92","1.55B","0.84%"
"05/18/2020","473.60","477.02","479.57","473.60","1.67B","-1.68%"
"05/15/2020","481.71","482.61","485.84","476.89","1.66B","0.56%"
"05/14/2020","479.05","483.46","484.53","478.77","1.80B","-1.51%"
"05/13/2020","486.38","481.35","486.38","480.46","1.63B","0.79%"
"05/12/2020","482.59","486.57","487.20","481.40","1.78B","-1.36%"
"05/11/2020","489.22","486.37","490.08","486.28","2.06B","1.12%"
"05/08/2020","483.82","483.96","487.07","482.61","1.82B","0.53%"
"05/07/2020","481.29","477.46","483.33","477.34","1.69B","0.82%"
"05/06/2020","477.37","475.64","478.77","473.42","1.65B","0.25%"
"05/05/2020","476.19","476.55","479.81","475.04","1.68B","0.31%"
"05/04/2020","474.70","476.72","476.72","472.21","1.70B","-2.44%"
"04/30/2020","486.56","481.37","487.22","481.37","2.13B","1.72%"
"04/29/2020","478.33","476.06","479.96","476.06","2.00B","1.05%"
"04/28/2020","473.35","473.19","474.33","469.65","2.02B","0.12%"
"04/27/2020","472.80","467.64","473.40","467.64","2.09B","1.96%"
"04/24/2020","463.69","464.63","465.76","462.60","1.53B","-0.19%"
"04/23/2020","464.58","466.24","469.29","461.14","1.71B","0.62%"
"04/22/2020","461.71","459.16","462.16","453.90","1.62B","0.26%"
"04/21/2020","460.52","471.05","472.08","460.02","1.98B","-2.83%"
"04/20/2020","473.94","475.91","477.39","471.16","1.41B","-0.15%"
"04/17/2020","474.63","471.87","478.09","470.86","2.45B","3.41%"
"04/16/2020","458.98","457.00","461.69","455.41","1.62B","-0.33%"
"04/15/2020","460.50","458.31","461.42","458.10","1.90B","0.90%"
"04/14/2020","456.38","447.42","456.69","447.42","1.62B","2.50%"
"04/13/2020","445.27","446.54","449.43","444.31","1.40B","-0.38%"
"04/10/2020","446.99","447.69","449.10","445.16","1.17B","-0.47%"
"04/09/2020","449.08","454.64","457.16","448.31","1.81B","-0.67%"
"04/08/2020","452.11","447.22","452.64","446.13","1.94B","1.37%"
"04/07/2020","446.00","443.47","447.88","443.38","2.04B","2.19%"
"04/06/2020","436.45","430.85","436.45","428.61","1.77B","1.79%"
"04/01/2020","428.76","431.23","431.91","428.70","1.51B","-0.27%"
"03/31/2020","429.90","428.38","432.66","425.41","1.63B","1.32%"
"03/30/2020","424.31","420.66","425.38","416.26","1.26B","-1.04%"
"03/27/2020","428.75","438.96","444.61","428.58","1.89B","-1.25%"
"03/26/2020","434.16","430.29","434.25","425.69","1.62B","1.20%"
"03/25/2020","429.03","421.99","433.48","421.99","1.94B","3.81%"
"03/24/2020","413.28","406.32","420.05","406.32","1.50B","4.70%"
"03/23/2020","394.72","401.16","402.25","389.14","1.38B","-4.13%"
"03/20/2020","411.74","393.85","413.60","393.85","2.38B","7.02%"
"03/19/2020","384.74","400.87","400.87","374.62","2.75B","-5.61%"
"03/18/2020","407.60","418.68","422.89","407.60","2.01B","-2.28%"
"03/17/2020","417.13","417.39","429.13","412.32","2.31B","-2.41%"
"03/16/2020","427.43","443.77","449.64","427.43","2.01B","-4.47%"
"03/13/2020","447.45","437.78","450.73","423.12","2.99B","-1.96%"
"03/12/2020","456.41","474.14","474.14","451.67","2.65B","-4.38%"
"03/11/2020","477.32","485.40","489.05","477.32","1.60B","-1.37%"
"03/10/2020","483.96","477.50","485.74","474.90","1.92B","0.58%"
"03/09/2020","481.15","490.26","490.26","481.15","1.90B","-3.14%"
"03/06/2020","496.77","502.92","503.02","496.51","1.35B","-1.84%"
"03/05/2020","506.09","504.61","507.97","504.61","1.48B","1.19%"
"03/04/2020","500.12","500.39","500.42","495.35","1.38B","0.59%"
"03/03/2020","497.17","495.72","500.97","495.72","1.56B","1.86%"
"03/02/2020","488.11","486.17","494.84","482.19","1.70B","-1.06%"
"02/27/2020","493.36","502.19","504.24","492.98","1.91B","-1.70%"
"02/26/2020","501.87","503.19","505.83","501.10","1.52B","-1.17%"
"02/25/2020","507.81","505.24","509.43","500.76","1.20B","0.30%"
"02/24/2020","506.31","508.26","508.90","505.16","1.32B","-1.37%"
"02/21/2020","513.34","514.85","516.37","511.61","1.13B","-0.32%"
"02/20/2020","515.00","517.87","519.81","513.96","1.24B","-0.19%"
"02/19/2020","515.96","511.13","517.33","510.46","1.39B","1.02%"
"02/18/2020","510.77","515.28","516.58","510.77","1.25B","-1.78%"
"02/17/2020","520.02","520.40","521.47","518.34","1.21B","-0.73%"
"02/14/2020","523.84","523.57","525.71","522.40","1.17B","0.28%"
"02/13/2020","522.40","525.34","527.10","522.24","1.41B","-0.01%"
"02/12/2020","522.45","517.57","523.64","517.57","1.41B","1.38%"
"02/11/2020","515.32","512.52","516.39","512.52","1.18B","1.11%"
"02/10/2020","509.67","504.78","511.55","500.98","1.47B","-0.37%"
"02/07/2020","511.54","516.14","516.14","510.04","1.32B","-1.36%"
"02/06/2020","518.58","512.68","518.58","512.68","1.41B","1.59%"
"02/05/2020","510.47","512.45","513.72","507.86","1.72B","0.28%"
"02/04/2020","509.04","500.85","510.51","500.34","1.58B","2.31%"
"02/03/2020","497.55","496.17","497.76","486.50","2.04B","-1.29%"
"01/31/2020","504.05","505.46","509.27","500.87","1.83B","0.77%"
"01/30/2020","500.20","520.49","520.49","499.80","2.42B","-5.99%"
"01/20/2020","532.05","532.64","534.20","531.73","1.25B","0.13%"
"01/17/2020","531.36","532.15","534.20","529.94","1.26B","0.03%"
"01/16/2020","531.22","526.81","532.20","526.81","1.32B","-0.41%"
"01/15/2020","533.43","538.50","538.50","531.35","1.24B","-1.11%"
"01/14/2020","539.40","538.28","539.44","537.29","1.47B","0.88%"
"01/13/2020","534.72","533.79","534.81","530.81","1.44B","0.74%"
"01/10/2020","530.78","530.89","532.69","526.62","1.18B","0.54%"
"01/09/2020","527.95","523.77","528.98","523.77","1.45B","1.85%"
"01/08/2020","518.38","515.65","523.04","514.36","1.64B","-0.35%"
"01/07/2020","520.19","524.94","526.35","516.38","1.62B","-0.83%"
"01/06/2020","524.52","528.65","529.30","524.52","1.56B","-1.82%"
"01/03/2020","534.23","540.09","541.58","529.74","1.77B","-0.16%"
"01/02/2020","535.08","529.88","535.64","529.88","1.37B","1.38%"
"12/31/2019","527.82","528.39","530.61","527.82","1.05B","-0.59%"
"12/30/2019","530.95","533.63","534.81","530.53","1.21B","-0.46%"
"12/27/2019","533.39","530.56","533.78","530.56","1.29B","0.98%"
"12/26/2019","528.20","529.16","529.88","527.23","1.13B","-0.04%"
"12/25/2019","528.39","526.13","529.82","525.74","1.03B","0.46%"
"12/24/2019","525.96","528.43","528.72","525.96","1.01B","-0.44%"
"12/23/2019","528.29","525.81","528.29","524.91","1.17B","0.61%"
"12/20/2019","525.10","528.89","530.19","524.37","1.59B","-0.97%"
"12/19/2019","530.22","534.61","536.60","529.84","1.53B","-1.36%"
"12/18/2019","537.52","534.92","537.92","534.92","1.67B","-0.01%"
"12/17/2019","537.60","528.45","537.60","528.45","1.71B","1.73%"
"12/16/2019","528.48","527.05","530.13","527.04","1.90B","0.07%"
"12/13/2019","528.13","530.11","533.24","526.91","1.91B","1.04%"
"12/12/2019","522.68","518.04","525.35","518.04","1.71B","1.86%"
"12/11/2019","513.13","508.62","513.13","508.00","1.58B","0.99%"
"12/10/2019","508.11","509.47","509.81","506.95","1.72B","-0.46%"
"12/09/2019","510.48","508.35","511.73","508.35","1.74B","0.80%"
"12/06/2019","506.41","508.98","509.95","504.37","1.35B","0.13%"
"12/05/2019","505.74","501.58","505.74","501.58","1.46B","1.38%"
"12/04/2019","498.84","498.26","498.84","496.15","1.31B","-0.19%"
"12/03/2019","499.77","495.99","499.77","495.52","1.36B","0.33%"
"12/02/2019","498.13","498.67","499.47","495.15","1.48B","0.21%"
"11/29/2019","497.10","503.24","503.76","496.95","1.58B","-1.20%"
"11/28/2019","503.16","504.44","505.48","502.48","1.40B","-0.33%"
"11/27/2019","504.84","501.33","505.32","501.33","1.57B","0.85%"
"11/26/2019","500.57","503.72","504.40","500.57","1.84B","0.05%"
"11/25/2019","500.31","503.46","504.00","500.31","1.46B","-0.29%"
"11/22/2019","501.76","502.01","503.16","500.40","1.25B","-0.10%"
"11/21/2019","502.26","501.41","502.26","497.21","1.15B","-0.66%"
"11/20/2019","505.58","507.11","507.57","503.89","1.18B","-0.41%"
"11/19/2019","507.64","504.54","507.64","503.35","1.30B","0.80%"
"11/18/2019","503.60","500.62","503.60","499.89","1.31B","0.86%"
"11/15/2019","499.31","497.55","500.47","497.55","1.72B","0.86%"
"11/14/2019","495.03","496.94","497.70","493.48","1.56B","-0.05%"
"11/13/2019","495.30","494.98","497.24","493.46","1.20B","-0.43%"
"11/12/2019","497.46","493.62","497.46","493.62","1.25B","1.24%"
"11/11/2019","491.36","498.94","498.97","490.59","1.47B","-1.64%"
"11/08/2019","499.55","501.73","503.01","498.83","1.38B","-0.30%"
"11/07/2019","501.07","503.07","503.27","497.80","1.34B","-0.59%"
"11/06/2019","504.05","503.76","504.64","500.85","1.54B","0.01%"
"11/05/2019","504.00","500.23","504.00","500.23","1.38B","1.01%"
"11/04/2019","498.97","493.79","499.56","493.48","1.51B","1.82%"
"11/01/2019","490.04","488.53","490.04","485.94","1.36B","0.57%"
"10/31/2019","487.28","488.62","490.89","487.28","1.64B","-0.12%"
"10/30/2019","487.85","486.64","487.85","484.88","1.26B","0.29%"
"10/29/2019","486.46","487.17","488.81","483.90","1.55B","0.33%"
"10/28/2019","484.84","485.23","485.94","483.96","1.20B","0.31%"
"10/25/2019","483.33","485.35","486.06","482.68","1.40B","-0.17%"
"10/24/2019","484.16","483.03","484.16","481.06","1.47B","0.63%"
"10/23/2019","481.12","480.99","482.73","478.54","1.66B","0.00%"
"10/22/2019","481.11","478.89","481.11","478.49","1.34B","1.02%"
"10/21/2019","476.23","476.54","476.99","474.60","960.01M","-0.28%"
"10/18/2019","477.59","477.96","480.92","476.07","1.45B","-0.04%"
"10/17/2019","477.79","476.35","477.79","474.54","1.22B","0.19%"
"10/16/2019","476.89","479.23","480.02","474.20","1.45B","0.36%"
"10/15/2019","475.17","475.35","477.59","474.48","1.36B","0.54%"
"10/14/2019","472.62","471.58","474.52","471.58","1.52B","1.98%"
"10/09/2019","463.44","467.26","469.10","463.44","1.30B","-1.47%"
"10/08/2019","470.36","468.62","470.36","467.91","1.26B","1.16%"
"10/07/2019","464.97","465.06","466.52","464.22","1.17B","0.58%"
"10/04/2019","462.31","463.92","465.63","460.14","1.26B","0.19%"
"10/03/2019","461.44","458.77","461.94","457.40","1.10B","-0.59%"
"10/02/2019","464.20","463.45","464.82","462.84","1.08B","-0.03%"
"10/01/2019","464.35","457.20","464.39","457.20","1.36B","1.90%"
"09/30/2019","455.71","458.43","459.67","454.93","1.41B","0.00%"
"09/27/2019","455.71","458.43","459.67","454.93","1.41B","-0.07%"
"09/26/2019","456.01","457.84","459.16","454.68","1.28B","0.17%"
"09/25/2019","455.22","454.45","455.22","452.25","1.26B","-0.35%"
"09/24/2019","456.83","456.74","458.58","455.31","1.40B","-0.01%"
"09/23/2019","456.89","455.75","457.22","454.84","1.34B","0.22%"
"09/20/2019","455.87","456.11","456.99","455.26","1.65B","0.18%"
"09/19/2019","455.05","457.82","458.04","453.98","1.28B","-0.25%"
"09/18/2019","456.17","454.68","458.62","454.60","1.37B","0.65%"
"09/17/2019","453.21","454.04","454.40","452.75","1.40B","-0.09%"
"09/16/2019","453.62","450.76","453.62","449.43","1.21B","0.50%"
"09/12/2019","451.37","452.41","453.30","450.03","1.37B","0.39%"
"09/11/2019","449.63","449.54","450.68","447.39","1.37B","0.55%"
"09/10/2019","447.19","450.29","450.62","446.25","1.43B","-0.93%"
"09/09/2019","451.40","453.20","454.20","450.39","1.43B","0.09%"
"09/06/2019","451.00","452.24","453.35","449.87","1.73B","0.17%"
"09/05/2019","450.23","449.38","450.59","447.93","2.06B","1.21%"
"09/04/2019","444.83","440.45","445.25","440.45","1.42B","1.13%"
"09/03/2019","439.86","443.45","444.82","439.34","1.38B","-0.92%"
"09/02/2019","443.95","442.85","443.98","441.51","1.45B","0.19%"
"08/30/2019","443.10","438.73","443.10","438.73","1.96B","1.63%"
"08/29/2019","435.99","434.85","436.14","432.80","1.44B","0.41%"
"08/28/2019","434.19","432.01","435.24","432.01","1.12B","0.71%"
"08/27/2019","431.11","430.80","432.86","429.94","1.32B","0.59%"
"08/26/2019","428.57","432.22","432.22","428.19","1.33B","-2.16%"
"08/23/2019","438.02","438.16","439.14","436.56","1.31B","-0.07%"
"08/22/2019","438.31","440.45","442.05","437.75","1.64B","0.05%"
"08/21/2019","438.07","437.58","439.08","436.18","1.48B","0.23%"
"08/20/2019","437.08","436.31","438.12","435.60","1.58B","0.54%"
"08/19/2019","434.75","432.14","435.88","431.92","1.63B","1.03%"
"08/16/2019","430.31","428.42","432.32","426.91","1.65B","0.78%"
"08/15/2019","427.00","427.04","427.40","423.69","1.51B","-0.76%"
"08/14/2019","430.27","431.86","435.32","430.27","1.73B","1.00%"
"08/13/2019","425.99","429.20","429.20","425.83","1.32B","-1.18%"
"08/12/2019","431.06","431.77","433.06","429.25","1.38B","-0.02%"
"08/09/2019","431.13","424.72","431.35","424.72","1.40B","0.00%"
"08/08/2019","431.13","424.72","431.35","424.72","1.40B","1.45%"
"08/07/2019","424.97","427.34","428.80","424.11","1.28B","-0.06%"
"08/06/2019","425.24","417.14","426.82","413.35","1.47B","0.14%"
"08/05/2019","424.65","430.92","432.26","424.14","1.35B","-1.70%"
"08/02/2019","432.00","435.45","435.45","430.62","1.75B","-2.07%"
"08/01/2019","441.14","441.81","443.17","439.64","1.47B","-0.74%"
"07/31/2019","444.42","443.89","444.42","440.06","1.53B","0.10%"
"07/30/2019","443.99","448.51","449.18","443.53","1.65B","-0.61%"
"07/29/2019","446.70","445.90","447.85","445.79","1.45B","-0.14%"
"07/26/2019","447.32","447.39","448.66","446.65","1.52B","-0.71%"
"07/25/2019","450.52","448.19","450.75","447.24","1.70B","-0.07%"
"07/24/2019","450.84","451.64","452.01","449.42","1.59B","0.29%"
"07/23/2019","449.54","450.00","451.93","448.22","1.58B","0.25%"
"07/22/2019","448.41","446.15","448.56","445.84","1.36B","1.14%"
"07/19/2019","443.36","443.22","445.74","443.22","1.38B","1.16%"
"07/18/2019","438.29","439.13","440.32","437.90","1.50B","-0.20%"
"07/17/2019","439.17","441.42","441.66","438.42","1.54B","-0.88%"
"07/16/2019","443.05","441.45","443.99","441.45","1.55B","0.25%"
"07/15/2019","441.95","438.19","442.09","435.77","1.44B","0.86%"
"07/12/2019","438.18","439.74","440.23","438.08","1.59B","-0.12%"
"07/11/2019","438.69","436.82","439.48","435.83","1.53B","0.86%"
"07/10/2019","434.96","430.75","435.25","430.75","1.26B","1.36%"
"07/09/2019","429.13","431.16","431.48","428.30","1.03B","-0.82%"
"07/08/2019","432.67","430.79","434.39","430.37","958.21M","-0.23%"
"07/05/2019","433.66","434.01","435.22","431.91","956.64M","0.10%"
"07/04/2019","433.22","432.87","434.76","432.23","929.27M","0.39%"
"07/03/2019","431.52","434.81","435.99","430.70","1.02B","-1.66%"
"07/02/2019","438.82","438.69","439.38","436.95","1.04B","0.07%"
"07/01/2019","438.51","433.67","439.70","433.67","1.37B","2.86%"
"06/28/2019","426.31","428.91","429.30","425.53","836.52M","-0.41%"
"06/27/2019","428.08","422.37","429.39","422.37","1.24B","1.73%"
"06/26/2019","420.78","420.87","422.40","420.05","829.00M","-0.58%"
"06/25/2019","423.25","426.97","428.00","422.38","1.00B","-0.95%"
"06/24/2019","427.30","426.00","427.87","423.84","926.88M","-0.89%"
"06/21/2019","431.15","431.86","432.87","429.37","1.55B","0.44%"
"06/20/2019","429.27","426.05","429.82","425.54","1.19B","0.45%"
"06/19/2019","427.36","422.05","427.48","422.05","1.32B","2.77%"
"06/18/2019","415.84","415.61","416.84","413.65","775.64M","0.34%"
"06/17/2019","414.45","412.89","416.29","411.83","760.40M","-0.30%"
"06/14/2019","415.68","418.05","419.06","415.41","816.18M","-0.79%"
"06/13/2019","418.97","420.58","422.84","418.36","938.11M","-0.89%"
"06/12/2019","422.75","420.43","424.06","419.14","1.05B","0.56%"
"06/11/2019","420.40","416.25","422.29","415.39","1.38B","0.99%"
"06/10/2019","416.26","412.28","416.26","410.36","971.96M","2.33%"
"06/06/2019","406.77","407.09","408.43","404.78","814.67M","-1.01%"
"06/05/2019","410.94","414.45","416.27","410.37","895.37M","0.33%"
"06/04/2019","409.57","414.24","415.49","409.55","834.46M","-1.19%"
"06/03/2019","414.49","412.54","415.10","407.85","770.17M","0.24%"
"05/31/2019","413.51","407.46","415.43","406.50","1.16B","1.59%"
"05/30/2019","407.03","403.49","407.32","403.47","954.11M","1.04%"
"05/29/2019","402.84","400.87","403.02","398.48","959.16M","-0.13%"
"05/28/2019","403.37","404.99","405.77","403.37","1.34B","-0.14%"
"05/27/2019","403.95","407.29","408.32","402.80","786.83M","-0.56%"
"05/24/2019","406.21","404.66","409.09","404.66","1.00B","0.44%"
"05/23/2019","404.42","410.29","410.29","404.07","1.18B","-2.42%"
"05/22/2019","414.47","414.83","418.44","413.86","928.77M","0.36%"
"05/21/2019","412.97","410.44","414.41","408.94","1.22B","-0.18%"
"05/20/2019","413.72","417.24","418.80","413.36","1.09B","-0.56%"
"05/17/2019","416.04","426.08","428.15","416.04","1,427.01B","-1.91%"
"05/16/2019","424.12","429.03","429.75","424.03","1,233.39B","-1.21%"
"05/15/2019","429.33","429.57","432.18","429.02","1,217.93B","0.24%"
"05/14/2019","428.30","425.38","430.23","419.90","1,330.41B","-0.36%"
"05/13/2019","429.86","437.34","437.57","429.51","1,147.37B","-2.17%"
"05/10/2019","439.41","442.13","445.33","437.04","1,241.01B","-0.37%"
"05/09/2019","441.06","449.46","449.46","440.60","1,379.33B","-2.03%"
"05/08/2019","450.19","450.35","451.77","447.38","1,080.36B","-0.73%"
"05/07/2019","453.52","448.98","454.46","448.98","1,072.67B","1.25%"
"05/06/2019","447.90","452.10","452.10","446.99","1,302.74B","-2.26%"
"05/03/2019","458.25","453.60","458.29","452.93","1,086.95B","1.57%"
"05/02/2019","451.15","452.47","454.35","450.48","987.38B","0.11%"
"04/30/2019","450.64","450.30","451.08","448.03","1,080.66B","0.18%"
"04/29/2019","449.81","452.40","454.16","448.93","1,333.31B","-0.60%"
"04/26/2019","452.53","455.66","455.85","450.37","1,480.81B","-1.54%"
"04/25/2019","459.61","458.66","460.33","458.18","1,554.48B","0.03%"
"04/24/2019","459.45","461.50","461.99","457.60","1,448.56B","0.00%"
"04/23/2019","459.46","458.27","459.46","455.51","1,388.28B","0.38%"
"04/22/2019","457.74","458.74","460.47","456.96","1,502.21B","0.19%"
"04/19/2019","456.88","461.23","462.83","455.96","1,626.53B","-0.05%"
"04/18/2019","457.11","460.39","463.77","455.56","2,055.33B","-0.04%"
"04/17/2019","457.29","455.18","458.31","455.18","2,166.93B","1.05%"
"04/16/2019","452.56","451.12","452.56","449.55","1,827.74B","0.82%"
"04/15/2019","448.87","447.07","449.51","446.51","1,445.49B","1.14%"
"04/12/2019","443.80","444.29","445.66","442.61","1,486.49B","0.03%"
"04/11/2019","443.67","446.58","447.96","442.95","1,642.61B","-0.65%"
"04/10/2019","446.58","445.29","447.01","443.75","1,492.97B","0.13%"
"04/09/2019","446.01","443.92","446.01","442.86","1,683.86B","0.57%"
"04/08/2019","443.50","440.78","443.89","440.78","1,818.84B","1.56%"
"04/03/2019","436.67","438.46","439.29","436.19","1,487.67B","0.14%"
"04/02/2019","436.08","437.08","438.64","435.70","1,599.54B","0.64%"
"04/01/2019","433.32","435.81","437.35","432.15","1,750.00B","0.71%"
"03/29/2019","430.26","426.75","430.26","425.09","1,207.70B","1.05%"
"03/28/2019","425.81","425.62","426.21","424.00","1,058.26B","-0.15%"
"03/27/2019","426.44","426.07","427.10","424.63","1,116.69B","-0.20%"
"03/26/2019","427.29","424.90","427.29","424.78","1,234.65B","1.04%"
"03/25/2019","422.88","424.46","424.79","422.17","1,247.78B","-2.10%"
"03/22/2019","431.94","431.96","433.53","429.11","1,542.41B","0.56%"
"03/21/2019","429.55","426.28","429.67","425.83","1,371.25B","0.98%"
"03/20/2019","425.38","424.84","425.53","423.41","1,335.88B","0.41%"
"03/19/2019","423.66","422.07","423.87","421.37","1,438.81B","0.07%"
"03/18/2019","423.38","420.69","423.38","420.49","1,446.74B","0.88%"
"03/15/2019","419.69","418.31","420.49","417.29","1,672.36B","0.82%"
"03/14/2019","416.28","419.09","419.92","415.53","1,371.47B","-0.32%"
"03/13/2019","417.63","414.23","417.63","414.23","1,187.37B","0.61%"
"03/12/2019","415.10","413.45","417.28","413.45","1,201.11B","1.08%"
"03/11/2019","410.67","408.50","411.40","408.10","1,020.39B","0.16%"
"03/08/2019","410.02","411.04","411.04","407.74","1,104.84B","-0.86%"
"03/07/2019","413.59","416.48","416.91","412.79","1,256.72B","-0.65%"
"03/06/2019","416.31","415.56","417.15","414.98","1,194.18B","0.56%"
"03/05/2019","414.01","414.99","415.80","413.65","1,093.85B","-0.64%"
"03/04/2019","416.68","418.84","419.75","414.79","1,299.98B","-0.39%"
"02/27/2019","418.30","418.60","419.76","415.98","1,402.44B","-0.21%"
"02/26/2019","419.16","420.38","421.07","417.95","1,416.66B","-0.07%"
"02/25/2019","419.47","416.77","419.47","416.77","1,534.56B","1.01%"
"02/22/2019","415.27","414.17","415.27","412.47","1,476.36B","0.10%"
"02/21/2019","414.87","413.38","414.87","411.78","1,474.89B","0.55%"
"02/20/2019","412.59","408.35","412.63","408.35","1,379.18B","1.57%"
"02/19/2019","406.22","406.42","407.40","405.69","1,094.52B","0.01%"
"02/18/2019","406.17","404.75","407.02","404.75","1,168.92B","0.88%"
"02/15/2019","402.63","405.54","406.39","401.60","1,312.93B","-0.33%"
"02/14/2019","403.96","405.61","406.98","403.26","1,333.28B","-0.28%"
"02/13/2019","405.10","407.19","408.16","404.23","1,549.49B","-0.08%"
"02/12/2019","405.43","402.85","405.54","402.82","1,381.04B","1.09%"
"02/11/2019","401.06","400.46","402.14","399.01","1,348.75B","1.71%"
"01/30/2019","394.31","393.56","395.49","393.08","1,169.78B","-0.15%"
"01/29/2019","394.89","395.30","396.77","393.33","914.31B","-1.34%"
"01/28/2019","400.25","400.78","401.26","399.29","1,001.38B","0.52%"
"01/25/2019","398.16","396.67","399.01","395.98","1,177.56B","1.28%"
"01/24/2019","393.13","392.05","393.62","391.27","767.61B","0.70%"
"01/23/2019","390.41","390.89","391.71","389.21","644.11B","-0.52%"
"01/22/2019","392.46","391.65","392.46","390.38","834.03B","0.04%"
"01/21/2019","392.29","392.10","394.46","392.10","946.65B","0.58%"
"01/18/2019","390.03","387.55","390.61","386.63","916.58B","0.45%"
"01/17/2019","388.27","387.80","390.30","386.91","993.78B","0.32%"
"01/16/2019","387.03","386.54","389.11","386.54","1,062.42B","-0.33%"
"01/15/2019","388.32","382.74","388.32","382.47","935.71B","1.29%"
"01/14/2019","383.38","384.03","385.45","381.90","720.86B","-0.54%"
"01/11/2019","385.46","384.25","386.83","383.71","905.77B","0.95%"
"01/10/2019","381.82","381.70","381.82","379.82","955.02B","0.07%"
"01/09/2019","381.57","376.07","382.66","376.07","1,320.93B","1.81%"
"01/08/2019","374.77","376.06","376.46","373.59","831.40B","-0.43%"
"01/07/2019","376.37","373.09","377.20","373.09","963.80B","2.23%"
"01/04/2019","368.17","371.31","371.31","365.17","1,056.95B","-2.00%"
"01/03/2019","375.67","375.70","379.21","375.01","968.15B","-1.20%"
"01/02/2019","380.25","388.25","388.65","379.70","714.81B","-2.00%"
"12/28/2018","388.00","384.29","388.00","383.45","781.42B","1.09%"
"12/27/2018","383.81","381.99","385.84","381.99","949.05B","1.93%"
"12/26/2018","376.54","380.26","382.37","376.20","864.80B","-0.67%"
"12/25/2018","379.09","379.17","379.61","376.36","818.30B","-1.21%"
"12/24/2018","383.74","383.28","384.13","381.71","765.48B","0.13%"
"12/22/2018","383.26","382.38","383.49","381.68","381.98B","-0.51%"
"12/21/2018","385.24","381.63","385.32","379.04","1,163.93B","0.44%"
"12/20/2018","383.55","385.69","386.52","382.87","1,009.78B","-1.51%"
"12/19/2018","389.43","385.82","389.43","385.82","973.59B","0.92%"
"12/18/2018","385.88","386.00","386.89","384.10","985.62B","-0.58%"
"12/17/2018","388.14","386.98","390.53","385.23","891.92B","0.05%"
"12/14/2018","387.93","389.91","389.91","385.00","1,055.26B","-1.15%"
"12/13/2018","392.44","391.88","393.82","390.58","1,233.54B","0.25%"
"12/12/2018","391.45","386.58","392.37","386.58","1,116.30B","1.78%"
"12/11/2018","384.59","381.54","385.24","381.54","1,025.27B","1.08%"
"12/10/2018","380.47","383.66","383.66","379.16","1,188.71B","-1.44%"
"12/07/2018","386.03","385.29","388.21","384.55","1,095.30B","0.84%"
"12/06/2018","382.82","390.65","391.08","381.73","1,654.49B","-3.25%"
"12/05/2018","395.70","397.68","397.68","394.32","1,197.25B","-2.39%"
"12/04/2018","405.38","406.56","407.72","403.60","1,542.35B","-0.56%"
"12/03/2018","407.65","399.55","408.04","399.55","1,868.84B","3.52%"
"11/30/2018","393.80","395.36","397.68","393.80","1,920.14B","-0.20%"
"11/29/2018","394.59","397.92","399.73","394.59","1,561.38B","0.45%"
"11/28/2018","392.83","386.59","393.48","386.33","1,310.62B","1.45%"
"11/27/2018","387.21","381.89","387.62","381.05","1,032.24B","0.81%"
"11/26/2018","384.08","378.87","385.81","378.87","800.41B","1.59%"
"11/23/2018","378.06","380.66","381.24","376.78","939.91B","-0.36%"
"11/22/2018","379.41","383.18","384.93","379.18","1,116.33B","-0.45%"
"11/21/2018","381.14","376.66","381.86","374.67","1,055.88B","0.32%"
"11/20/2018","379.91","381.09","382.16","378.79","921.21B","-1.05%"
"11/19/2018","383.93","384.00","385.53","381.95","967.31B","-0.10%"
"11/16/2018","384.32","387.24","387.90","383.37","1,433.73B","-0.97%"
"11/15/2018","388.10","387.21","389.31","384.43","1,301.07B","0.49%"
"11/14/2018","386.22","387.47","388.57","385.91","1,143.87B","0.16%"
"11/13/2018","385.62","380.98","385.62","377.48","1,187.78B","-0.71%"
"11/12/2018","388.38","386.94","391.63","386.17","960.55B","-0.05%"
"11/09/2018","388.56","392.26","392.26","387.35","997.93B","-1.33%"
"11/08/2018","393.79","396.42","398.36","393.46","1,259.75B","0.30%"
"11/07/2018","392.61","387.99","393.27","387.99","1,149.39B","1.00%"
"11/06/2018","388.74","392.67","393.47","387.06","1,402.03B","-1.08%"
